Fid,LATITUDE,LONGITUDE,wdate,precipitation,temp_max,temp_min,wind,weather
172.217.3.106-10.42.0.211-443-54184-6,41.14290169,-73.55290111,26-01-22,4.8,8.9,1.1,4.8,rain
208.185.50.65-10.42.0.211-443-41908-6,41.11419047,-73.65385924,27-01-22,0,6.7,-2.2,1.4,drizzle
157.240.18.15-10.42.0.211-443-50402-6,41.36457277,-73.49872547,28-01-22,0,6.7,0.6,2.2,rain
10.42.0.151-52.24.219.132-45960-443-6,29.54673604,-95.18118826,29-01-22,27.7,9.4,3.9,4.5,rain
192.229.173.173-10.42.0.151-80-38490-6,30.74859548,-98.67679205,30-01-22,3.6,8.3,6.1,5.1,rain
172.217.6.206-10.42.0.151-443-40858-6,29.62518,-95.594861,31-01-22,1.8,9.4,6.1,3.9,rain
10.42.0.151-10.42.0.1-35192-53-17,26.18036576,-98.08235842,01-02-22,13.5,8.9,3.3,2.7,rain
10.42.0.151-10.42.0.1-6629-53-17,29.41135142,-95.03886392,02-02-22,0,8.3,1.7,2.6,sun
10.42.0.211-10.42.0.1-31242-53-17,30.57865283,-98.26720823,03-02-22,0,14.4,2.2,5.3,sun
172.217.12.206-10.42.0.151-443-56397-6,27.66522849,-97.35788937,04-02-22,0,15.6,5,4.3,sun
180.149.136.247-10.42.0.211-80-59040-6,32.92149603,-96.7764887,05-02-22,0,13.9,1.7,2.9,sun
10.42.0.1-10.42.0.42-5351-37836-17,32.05112,-102.126511,06-02-22,0,16.1,1.7,5,sun
10.42.0.211-64.71.142.110-41793-443-6,29.72600046,-95.38283288,07-02-22,0.3,15.6,7.8,5.3,rain
172.217.3.110-10.42.0.211-443-54248-6,29.57669649,-95.5842782,08-02-22,2.8,10,5,2.7,rain
10.42.0.1-10.42.0.42-53-31123-17,33.6177213,-96.1940278,09-02-22,2.5,11.1,7.8,2.4,rain
10.42.0.211-10.42.0.1-42251-53-17,32.72910845,-97.33571468,10-02-22,2.5,12.8,6.7,3,rain
10.42.0.151-23.194.181.179-40375-443-6,41.13744517,-73.41716503,11-02-22,0.8,8.9,5.6,3.4,rain
10.42.0.151-10.42.0.1-21179-53-17,41.77105209,-72.7472878,12-02-22,1,8.3,5,1.3,rain
180.149.136.194-10.42.0.211-80-57308-6,41.03790597,-73.62627796,13-02-22,11.4,7.2,4.4,1.4,rain
10.42.0.151-121.12.98.78-58834-80-6,41.18629176,-73.2001665,14-02-22,2.5,6.7,1.1,3.1,rain
172.217.12.138-10.42.0.151-443-36717-6,41.23747461,-73.18388044,15-02-22,0,7.2,0.6,1.8,drizzle
172.217.7.132-10.42.0.42-443-43365-6,41.45424638,-73.40208792,16-02-22,1.8,7.2,3.3,2.1,rain
10.42.0.211-31.13.71.1-52482-443-6,41.13369729,-73.28404051,17-02-22,17.3,10,4.4,3.4,rain
206.126.112.141-10.42.0.42-443-36453-6,41.16074179,-73.25420661,18-02-22,6.4,6.7,3.9,8.1,rain
172.217.12.131-10.42.0.151-443-42845-6,41.17290389,-73.29054162,19-02-22,0,6.7,2.2,4.7,sun
10.42.0.42-125.211.204.209-45902-80-6,41.1436389,-73.2510187,20-02-22,3,7.8,1.7,2.9,rain
10.42.0.151-119.167.164.115-50948-80-6,41.11905213,-73.31461533,21-02-22,0.8,10,7.8,7.5,rain
10.42.0.211-10.42.0.1-32642-53-17,41.06922163,-73.62607937,22-02-22,8.6,10,2.8,5.9,rain
10.42.0.211-10.42.0.1-15360-53-17,41.38996242,-73.430045,23-02-22,0,8.3,2.8,3.9,sun
172.217.9.238-10.42.0.151-443-48052-6,41.38238712,-73.45317757,24-02-22,11.4,6.7,4.4,3.5,rain
10.42.0.211-10.42.0.1-2133-53-17,41.67371317,-72.94934593,25-02-22,0,7.2,2.8,6.4,rain
172.217.3.97-10.42.0.211-443-41157-6,41.1795191,-73.1963052,26-02-22,1.3,5,-1.1,3.4,drizzle
203.205.158.60-10.42.0.151-80-45802-6,41.64237869,-72.79417983,27-02-22,0,6.7,-2.2,3,sun
10.42.0.211-66.198.178.88-35821-443-6,41.22406198,-73.24640695,28-02-22,3.6,6.7,-0.6,4.2,drizzle
10.42.0.211-123.125.29.220-55281-80-6,41.05001744,-73.47958952,29-02-2022,0.8,5,1.1,7,drizzle
203.205.158.60-10.42.0.211-80-54160-6,41.21798582,-73.22314735,01-03-22,0,6.1,1.1,3.1,sun
192.229.163.180-10.42.0.211-443-45312-6,41.15613028,-73.22567683,02-03-22,2,6.7,3.9,5.1,rain
172.217.12.206-10.42.0.151-443-41941-6,41.18040338,-73.19670465,03-03-22,0,12.2,6.7,7,sun
172.217.10.238-10.42.0.42-443-55086-6,41.74039445,-72.68528287,04-03-22,0,10.6,6.7,5.6,rain
209.10.120.26-10.42.0.211-80-54066-6,41.24547922,-73.15551261,05-03-22,6.9,7.8,1.1,6.2,rain
10.42.0.211-77.234.44.201-53943-80-6,41.10047502,-73.53274012,06-03-22,0.5,6.7,0,2.7,drizzle
10.42.0.211-64.71.142.95-48799-443-6,41.74763082,-72.6019419,07-03-22,0,8.9,-1.7,2.7,sun
172.217.3.97-10.42.0.211-443-34378-6,41.42847232,-73.43898348,08-03-22,0,15.6,0.6,2.5,sun
10.42.0.211-23.219.23.166-39189-80-6,41.18948162,-73.12953144,09-03-22,3.6,9.4,5,2.8,rain
10.42.0.211-10.42.0.1-57991-53-17,41.40008809,-73.45907194,10-03-22,10.4,7.2,6.1,3.4,rain
172.217.10.142-10.42.0.42-443-55973-17,41.26182953,-73.16473911,11-03-22,13.7,6.7,2.8,5.8,rain
10.42.0.151-10.42.0.1-27548-53-17,41.31828517,-73.097026,12-03-22,19.3,8.3,0.6,6.2,drizzle
10.42.0.151-10.42.0.1-5351-37884-17,41.2980622,-73.14706651,13-03-22,9.4,5.6,0.6,5.3,drizzle
10.42.0.211-10.42.0.1-31404-53-17,41.37387319,-73.38776825,14-03-22,8.6,7.8,1.1,4.7,rain
10.42.0.211-64.71.142.96-41312-80-6,41.41432738,-73.29782899,15-03-22,23.9,11.1,5.6,5.8,drizzle
10.42.0.42-47.89.69.217-46971-80-6,41.14003085,-73.26215543,16-03-22,8.4,8.9,3.9,5.1,rain
10.42.0.211-10.42.0.1-64124-53-17,41.12394963,-73.54934716,17-03-22,9.4,10,0.6,3.8,drizzle
10.42.0.211-10.42.0.1-57858-53-17,41.13987263,-73.60078271,18-03-22,3.6,5,-0.6,2.7,rain
10.42.0.211-50.18.174.184-38037-443-6,41.12621083,-73.59864601,19-03-22,2,7.2,-1.1,3,rain
10.42.0.211-10.42.0.1-52887-53-17,41.1679052,-73.41099297,20-03-22,3.6,7.8,2.2,6.4,rain
172.217.11.10-10.42.0.211-443-60485-6,41.09183588,-73.53426403,21-03-22,1.3,8.9,1.1,2.5,rain
10.42.0.42-54.239.17.113-35430-443-6,41.77193517,-72.54862906,22-03-22,4.1,10,1.7,2.1,rain
10.42.0.211-23.21.115.9-57731-443-6,41.77601028,-72.84050545,23-03-22,0,12.2,0.6,2.8,sun
10.42.0.211-54.192.38.236-33098-443-6,41.7711992,-72.74734396,24-03-22,0,15,3.3,5.2,sun
216.58.217.99-10.42.0.42-443-60674-6,41.78214303,-72.52482423,25-03-22,0,13.3,2.2,2.7,rain
10.42.0.211-104.97.95.172-39618-80-6,41.79555142,-72.52744679,26-03-22,0,12.8,6.1,4.3,drizzle
10.42.0.151-52.45.159.13-56666-443-6,41.97194625,-72.5931447,27-03-22,4.8,14.4,6.7,3.8,rain
216.58.219.226-10.42.0.151-443-60409-6,41.84946236,-72.83407473,28-03-22,1.3,10.6,7.2,5.9,rain
209.10.120.26-10.42.0.211-80-37839-6,41.78096549,-72.7286476,29-03-22,27.4,10,6.1,4.4,rain
169.47.42.209-10.42.0.211-443-39138-6,41.78396396,-72.69488917,30-03-22,5.6,9.4,5,4.7,rain
10.42.0.42-115.239.210.141-54628-80-6,41.80333753,-72.75018048,31-03-22,13.2,10,2.8,3.4,rain
10.42.0.151-10.42.0.1-5351-51704-17,41.68680098,-72.94050995,01-04-22,1.5,8.9,4.4,6.8,rain
10.42.0.211-36.110.213.49-55367-443-6,41.79022469,-72.74638886,02-04-22,0,16.7,4.4,3.1,sun
220.243.219.55-10.42.0.211-80-45529-6,41.75813447,-72.73556076,03-04-22,1.5,11.7,3.3,3.1,rain
172.217.1.174-10.42.0.42-443-58888-6,41.72348031,-72.82925242,04-04-22,0,10.6,2.8,2.1,sun
10.42.0.151-10.42.0.1-65497-53-17,41.77095298,-72.74725082,05-04-22,4.6,9.4,2.8,1.8,drizzle
10.42.0.211-31.13.71.7-49079-443-6,41.76818823,-72.65543933,06-04-22,0.3,11.1,3.3,2.6,rain
10.42.0.211-10.42.0.1-49271-53-17,41.79950465,-72.75327802,07-04-22,0,16.1,1.7,4.3,sun
220.243.219.55-10.42.0.151-80-46694-6,41.8679124,-72.637397,08-04-22,0,21.1,7.2,4.1,sun
10.42.0.211-47.88.68.21-44965-443-6,41.65139456,-72.78863116,09-04-22,0,20,6.1,2.1,sun
10.42.0.1-10.42.0.42-53-11664-17,41.67194303,-72.7886184,10-04-22,0,17.8,8.9,3.2,rain
220.181.7.190-10.42.0.211-443-39900-6,41.75121609,-72.76589778,11-04-22,2.3,11.1,7.2,2.6,rain
10.42.0.151-10.42.0.1-23299-53-17,41.67033396,-72.94629452,12-04-22,0.5,13.9,5.6,2.6,rain
10.42.0.211-69.147.82.60-39054-443-6,41.98657835,-72.59942913,13-04-22,0,15,3.9,4,drizzle
10.42.0.211-10.42.0.1-2366-53-17,41.79116947,-72.52541892,14-04-22,0,15.6,3.3,3,sun
222.73.31.32-10.42.0.211-8288-55898-6,41.73607803,-72.73587657,15-04-22,0,16.1,7.2,2.9,rain
172.217.3.106-10.42.0.151-443-53083-6,41.85219629,-72.64801092,16-04-22,8.1,13.3,6.7,5.8,rain
172.217.7.163-10.42.0.151-443-38828-6,41.67754626,-72.93867968,17-04-22,1.8,10,4.4,2,rain
10.42.0.211-31.13.71.36-49297-443-6,41.67469226,-72.9029499,18-04-22,1.8,13.3,7.2,3.9,rain
10.42.0.211-72.21.206.140-41754-443-6,41.66209234,-72.78060172,19-04-22,10.9,13.9,5,2.6,rain
203.130.53.126-10.42.0.42-80-33105-6,41.63453238,-72.77134222,20-04-22,6.6,13.3,6.7,2.7,rain
10.42.0.42-121.12.98.63-52326-80-6,41.59586706,-72.88204284,21-04-22,0,20,4.4,2.3,sun
10.42.0.211-23.206.166.62-40000-80-6,41.80089957,-72.74769958,22-04-22,0,23.3,8.3,2.6,rain
10.42.0.211-106.11.94.1-42475-443-6,41.81154383,-72.79789362,23-04-22,0,21.7,8.9,3.5,sun
10.42.0.42-103.235.46.39-57600-80-6,41.82673558,-72.74323548,24-04-22,4.3,13.9,10,2.8,rain
137.116.195.37-10.42.0.211-443-46659-6,41.85110438,-72.83360851,25-04-22,10.7,16.7,8.9,2.6,rain
10.42.0.42-106.11.129.143-53648-80-6,41.78618305,-72.52587322,26-04-22,3.8,13.9,6.7,5.2,rain
172.217.3.35-10.42.0.151-443-43269-6,41.83919501,-72.66247062,27-04-22,0.8,13.3,6.1,4.8,rain
172.217.7.195-10.42.0.151-80-38631-6,41.85781193,-72.63520707,28-04-22,0,16.1,8.3,2.5,drizzle
10.42.0.211-54.221.219.50-42251-443-6,29.78845692,-95.34157106,29-04-22,4.3,15.6,8.9,1.6,rain
10.42.0.211-10.42.0.1-36396-53-17,32.71466356,-100.9177608,30-04-22,4.3,12.8,7.2,8,rain
10.42.0.1-10.42.0.42-53-55106-17,41.22274555,-73.06522089,01-05-22,0.5,11.7,6.1,6.4,rain
10.42.0.42-62.138.0.117-38165-80-6,41.60056758,-72.66524893,02-05-22,0.5,13.3,5.6,2.5,rain
172.217.12.195-10.42.0.211-443-56219-6,41.34928822,-73.07961008,03-05-22,18.5,11.1,7.2,3.4,rain
10.42.0.151-10.42.0.1-45110-53-17,41.47138331,-72.88129834,04-05-22,1.8,12.2,6.1,4.6,rain
8.41.222.241-10.42.0.211-443-32885-6,41.32821906,-72.92090237,05-05-22,0,13.3,5,2.3,sun
172.217.10.238-10.42.0.151-443-33232-6,41.21392475,-73.07455891,06-05-22,0,17.8,5,2.4,sun
10.42.0.211-10.42.0.1-16910-53-17,41.33516285,-72.91868254,07-05-22,0,23.9,6.1,2.2,sun
172.217.9.232-10.42.0.211-443-53682-6,41.24912209,-73.07764377,08-05-22,0,18.3,9.4,3,sun
10.42.0.151-10.42.0.1-39454-5351-17,41.54572111,-73.06711845,09-05-22,0,13.3,6.7,3.9,rain
169.55.67.244-10.42.0.151-443-38416-6,41.45463302,-72.80957681,10-05-22,0,14.4,3.9,3,sun
10.42.0.42-98.139.180.180-51589-443-6,41.3875872,-72.87436888,11-05-22,0,18.3,4.4,4.3,sun
10.42.0.151-52.216.64.219-60607-443-6,41.32718957,-72.92054672,12-05-22,0,24.4,6.7,3.4,sun
10.42.0.211-10.42.0.1-13792-53-17,41.45023379,-72.82373361,13-05-22,0,25.6,9.4,4.2,sun
10.42.0.211-60.217.249.36-55491-80-6,41.53115312,-73.06494264,14-05-22,0,26.7,12.8,3.8,sun
172.217.11.14-10.42.0.151-443-57764-6,41.3246708,-72.91212373,15-05-22,0,24.4,9.4,4.1,drizzle
10.42.0.211-10.42.0.1-4840-53-17,41.53237522,-72.67581659,16-05-22,0,19.4,9.4,3.5,sun
172.217.11.10-10.42.0.211-443-47989-6,41.22662449,-73.01301666,17-05-22,0,17.8,6.7,2.9,rain
172.217.10.234-10.42.0.42-443-47299-6,41.60662259,-72.69615033,18-05-22,0,15.6,7.8,3.1,rain
10.42.0.211-54.230.49.105-44389-443-6,41.36890324,-72.93195545,19-05-22,0,19.4,7.2,1.5,sun
10.42.0.151-54.173.220.111-54433-443-6,41.55172463,-73.03800938,20-05-22,6.4,14.4,11.7,1.3,rain
10.42.0.211-54.225.143.212-47023-443-6,41.36685358,-72.93157023,21-05-22,14,16.7,10,4,rain
183.232.231.30-10.42.0.211-443-43562-6,41.30439389,-72.7554416,22-05-22,6.1,12.8,8.9,4.8,rain
10.42.0.151-10.42.0.1-42797-53-17,41.49259274,-73.05508336,23-05-22,0.3,14.4,8.9,6.3,rain
172.217.10.3-10.42.0.151-443-36475-6,41.29164381,-72.37811645,24-05-22,0,17.2,8.9,3.3,rain
10.42.0.42-123.125.29.138-52910-80-6,41.53868295,-72.80807815,25-05-22,0,22.2,8.9,3.1,rain
182.22.25.252-10.42.0.42-443-54528-6,41.29802527,-72.93133714,26-05-22,0,22.2,8.9,3.6,sun
180.149.134.221-10.42.0.211-80-48428-6,41.55368974,-73.03577874,27-05-22,0,17.2,11.7,3.7,sun
174.129.32.118-10.42.0.211-443-54154-6,41.32746266,-73.08914193,28-05-22,0,16.7,10,3.4,rain
220.181.7.190-10.42.0.211-443-35785-6,41.34611312,-72.90276088,29-05-22,0,16.1,7.8,1.8,sun
172.217.10.225-10.42.0.211-443-57086-6,41.33208246,-72.91368852,30-05-22,0.3,18.9,11.1,1.5,rain
169.47.5.235-10.42.0.211-443-42905-6,41.50049342,-72.89901472,31-05-22,3.8,17.8,12.2,2.7,rain
10.42.0.151-10.42.0.1-51945-53-17,41.31846979,-72.35949013,01-06-22,6.6,20,12.8,3.7,rain
10.42.0.151-66.102.255.61-46394-443-6,41.50838095,-72.68755739,02-06-22,0.3,18.9,10.6,3.7,rain
10.42.0.151-10.42.0.1-38910-53-17,41.52692555,-73.12331152,03-06-22,0,17.2,9.4,2.9,sun
174.35.73.110-10.42.0.42-443-51371-6,41.35164069,-72.9139195,04-06-22,1.3,12.8,8.9,3.1,rain
10.42.0.211-10.42.0.1-47081-53-17,41.53263308,-72.6206306,05-06-22,16,13.3,8.3,3.3,rain
10.42.0.211-64.71.142.110-57931-443-6,30.08533768,-94.10451563,06-06-22,0,16.1,6.1,3.4,sun
10.42.0.151-106.11.92.6-37694-443-6,32.642427,-97.445036,07-06-22,16.5,16.1,8.9,3.5,rain
172.217.12.131-10.42.0.151-443-56182-6,33.55861,-101.8441281,08-06-22,1.5,15,8.3,3,rain
10.42.0.211-10.42.0.1-60339-53-17,32.793311,-96.722907,09-06-22,0,17.2,8.3,4.7,rain
10.42.0.151-40.78.98.202-56014-443-6,41.61584935,-72.08832446,10-06-22,0,18.9,10,2.9,sun
172.217.6.234-10.42.0.211-443-56487-6,41.30386048,-72.90269024,11-06-22,0,23.3,10,1.8,rain
10.42.0.151-59.110.88.129-42623-80-6,41.31761913,-72.97311828,12-06-22,0.8,18.3,12.8,3.9,rain
10.42.0.211-10.42.0.1-48157-53-17,41.52975922,-72.10292744,13-06-22,0,16.1,11.1,4.3,sun
203.205.158.55-10.42.0.211-80-40723-6,41.42814214,-71.84378208,14-06-22,0,17.2,10,2.7,sun
192.229.163.180-10.42.0.211-443-51129-6,41.28789549,-72.96088163,15-06-22,0,22.2,9.4,1.7,sun
172.217.12.202-10.42.0.211-443-56291-6,41.25367559,-72.97370107,16-06-22,0,21.1,15,4.1,rain
10.42.0.211-10.42.0.1-31150-53-17,41.36634214,-71.89463378,17-06-22,0,18.9,11.7,6.4,sun
10.42.0.211-54.235.81.66-45347-443-6,41.56755503,-72.05495051,18-06-22,3,17.2,10,3.8,rain
216.58.219.202-10.42.0.151-443-52276-6,41.32727242,-72.10170418,19-06-22,1,19.4,10,3,rain
10.42.0.211-106.39.162.36-39565-80-6,41.46949447,-72.09932262,20-06-22,0,24.4,10,3,sun
10.42.0.1-10.42.0.42-53-3754-17,41.6157585,-72.08924129,21-06-22,0,23.9,11.7,2.1,sun
10.42.0.211-59.38.112.48-33606-443-6,41.34449102,-72.10631061,22-06-22,15.7,13.9,11.7,1.9,rain
222.73.31.32-10.42.0.211-8288-56946-6,41.2742998,-72.94578742,23-06-22,8.6,15.6,9.4,2.5,rain
10.42.0.211-121.12.98.63-48383-80-6,41.22634375,-73.04778157,24-06-22,0,19.4,9.4,2,drizzle
180.149.136.194-10.42.0.211-443-35862-6,41.38043115,-71.83719939,25-06-22,0.5,19.4,11.1,3.1,rain
172.217.10.234-10.42.0.151-443-34188-6,41.53148445,-72.07743256,26-06-22,0,18.3,10.6,3.4,rain
239.255.255.250-10.42.0.1-1900-51972-17,41.35789277,-72.9093985,27-06-22,0,22.8,8.9,1.8,sun
202.77.129.161-10.42.0.151-80-52719-6,41.34601116,-72.04715291,28-06-22,0,22.2,11.7,2.5,rain
172.217.7.3-10.42.0.211-443-56951-6,41.32513532,-72.6353568,29-06-22,0.3,21.7,15,1.9,rain
203.205.158.61-10.42.0.42-80-54024-6,41.28871412,-73.0532625,30-06-22,3,20,13.3,2.4,rain
172.217.10.131-10.42.0.211-443-40572-6,41.37630371,-72.1035658,01-07-22,0,20,12.2,2.3,rain
10.42.0.211-10.42.0.1-31932-53-17,29.673552,-95.33299026,02-07-22,2,18.9,11.7,2.1,rain
175.100.207.233-10.42.0.42-80-42963-6,29.26488326,-94.83879029,03-07-22,5.8,18.3,10.6,6,rain
172.217.12.170-10.42.0.151-443-53181-6,40.60380428,-112.2732083,04-07-22,0,20.6,9.4,3.8,sun
180.149.136.194-10.42.0.211-80-48606-6,40.29177135,-111.6865115,05-07-22,0,24.4,10.6,3.1,drizzle
172.217.12.170-10.42.0.211-443-54305-6,40.63835289,-111.9705881,06-07-22,0,25,11.1,2.1,sun
10.42.0.211-52.201.35.194-46549-443-6,40.70858505,-111.8304531,07-07-22,0,26.7,12.8,3.8,sun
10.42.0.211-123.151.79.150-36286-80-6,41.18312576,-111.9505097,08-07-22,0,28.3,14.4,2.8,rain
203.205.128.137-10.42.0.151-80-52793-6,37.86944369,-109.3421159,09-07-22,1.5,25,12.8,2,rain
172.217.12.161-10.42.0.151-443-37946-6,40.16751022,-111.6358177,10-07-22,0,23.9,11.1,2.3,drizzle
10.42.0.211-66.102.255.61-38596-443-6,43.1637635,-73.07740383,11-07-22,0,27.8,13.3,2.9,rain
172.217.10.106-10.42.0.151-443-53435-6,43.98563045,-72.12177353,12-07-22,0,25.6,13.3,2.7,drizzle
216.58.217.132-10.42.0.151-443-48535-6,43.59556421,-72.97715521,13-07-22,0.5,23.3,13.9,2.2,rain
10.42.0.211-23.208.168.108-44661-80-6,44.69005132,-72.94786276,14-07-22,0,25,15,2.2,rain
10.42.0.211-31.13.69.197-40568-443-6,44.56195,-72.594231,15-07-22,0,18.9,13.3,3.8,rain
203.130.53.126-10.42.0.211-80-45901-6,43.1674996,-73.06766176,16-07-22,0.3,26.1,13.3,2.5,rain
172.217.12.138-10.42.0.42-443-34119-6,42.85308283,-72.55883226,17-07-22,0,21.7,15,2.6,sun
10.42.0.211-118.123.114.134-54609-80-6,42.92996,-73.244211,18-07-22,0,21.1,14.4,2.9,sun
172.217.7.196-10.42.0.151-443-45887-6,38.8625,-77.085181,19-07-22,0,25,14.4,2.2,sun
169.54.33.161-10.42.0.151-443-46557-6,38.95927746,-77.07275913,20-07-22,15.2,19.4,13.9,4,rain
151.101.21.140-10.42.0.211-443-60348-6,38.892,-76.99264,21-07-22,0,23.9,13.9,2.3,sun
10.42.0.211-10.42.0.1-40284-53-17,43.63524,-73.299841,22-07-22,1,20.6,12.2,3.9,rain
10.42.0.211-66.102.255.40-33138-443-6,43.1794,-73.051391,23-07-22,0,18.9,11.1,3.3,rain
172.217.12.131-10.42.0.211-443-43810-6,36.81245,-76.20366187,24-07-22,0,23.3,12.2,4.3,sun
10.42.0.211-104.193.88.109-42051-80-6,38.78261,-77.234281,25-07-22,0,26.7,12.8,2.6,sun
180.149.138.197-10.42.0.211-80-50567-6,36.84589,-76.413641,26-07-22,0,25.6,12.8,2.2,drizzle
224.0.0.251-10.42.0.1-5353-5353-17,33.62304219,-117.7295245,27-07-22,0,18.9,13.9,2.8,drizzle
10.42.0.151-103.7.30.118-43316-80-6,37.69375984,-77.43634582,28-07-22,0,22.2,13.3,1.7,drizzle
182.22.25.252-10.42.0.211-443-38746-6,36.73737,-76.335081,29-07-22,0,22.8,15,2,sun
10.42.0.151-58.215.168.151-56558-80-6,37.63488,-77.388181,30-07-22,0,19.4,13.3,3,sun
216.58.219.238-10.42.0.151-443-56750-6,39.12222725,-77.55345145,31-07-22,0,22.8,13.9,2.8,sun
10.42.0.151-52.94.232.33-36843-443-6,38.68520597,-77.31808059,01-08-22,0,23.9,13.3,2.2,drizzle
216.58.219.202-10.42.0.211-443-53812-6,38.35565,-77.514381,02-08-22,0,23.3,12.2,2.5,sun
10.42.0.211-52.84.26.207-58066-80-6,38.08467,-78.931161,03-08-22,0,27.2,12.8,3.9,sun
173.241.242.143-10.42.0.211-443-49156-6,37.528574,-78.330381,04-08-22,0,33.9,16.7,3.7,sun
173.194.175.188-10.42.0.151-5228-52325-6,37.78455858,-79.43305358,05-08-22,0,33.9,17.8,1.9,sun
172.217.11.42-10.42.0.42-443-52908-6,38.82987,-77.358051,06-08-22,0,28.3,15.6,2.5,rain
10.42.0.151-119.146.74.33-41899-443-6,39.14431147,-77.94261093,07-08-22,0,21.1,15,2.6,drizzle
10.42.0.151-10.42.0.1-64893-53-17,37.43541087,-77.59179029,08-08-22,0,22.2,15,3.1,sun
10.42.0.211-123.125.46.141-44670-80-6,36.70548569,-76.21218768,09-08-22,0,24.4,14.4,3.8,drizzle
172.217.6.234-10.42.0.211-443-39201-6,36.72860864,-78.91921638,10-08-22,0,25.6,12.2,2.3,sun
10.42.0.151-31.13.80.5-50350-443-6,36.74927308,-79.40938997,11-08-22,0,28.3,13.3,2.5,sun
172.217.11.8-10.42.0.151-443-35167-6,36.83719087,-76.05494218,12-08-22,0,30.6,15,3,sun
10.42.0.1-10.42.0.42-53-54535-17,38.78212,-77.514761,13-08-22,0,30.6,15,2.8,sun
205.185.216.42-10.42.0.42-80-40388-6,39.06486,-77.483091,14-08-22,0,28.9,13.9,2.8,sun
10.42.0.211-121.12.98.64-40889-80-6,38.91618,-77.556651,15-08-22,0,31.1,16.7,4.7,sun
10.42.0.151-10.42.0.1-53465-53-17,38.915,-77.511631,16-08-22,0,34.4,18.3,2.8,sun
10.42.0.211-52.2.18.215-40812-80-6,34.06263,-84.169321,17-08-22,0,32.8,16.1,1.8,sun
10.42.0.211-64.71.142.110-41792-443-6,37.03701,-76.357451,18-08-22,0,21.7,14.4,3,drizzle
10.42.0.151-10.42.0.1-43779-53-17,38.82484913,-77.06834265,19-08-22,0,23.3,15,2.7,drizzle
10.42.0.211-10.42.0.1-13961-53-17,37.12085585,-76.43577935,20-08-22,0,25.6,15,1.9,sun
172.217.10.46-10.42.0.151-443-53354-6,38.82465,-77.059761,21-08-22,0,23.3,13.3,3,rain
